name,code,description
Validado,00,"Sin errores"
Alerta 01,01,"LA CUIT INFORMADA NO CORRESPONDE A UN RESPONSABLE  INSCRIPTO EN EL IVA ACTIVO"
Error 02,02,"LA CUIT INFORMADA NO SE ENCUENTRA AUTORIZADA A EMITIR COMPROBANTES ELECTRONICOS ORIGINALES O EL PERIODO DE INICIO AUTORIZADO ES POSTERIOR AL DE LA GENERACION DE LA SOLICITUD"
Error 03,03,"LA CUIT INFORMADA REGISTRA INCONVENIENTES CON EL DOMICILIO FISCAL"
Error 04,04,"EL PUNTO DE VENTA INFORMADO NO SE ENCUENTRA DECLARADO PARA SER UTILIZADO EN EL PRESENTE REGIMEN"
Error 05,05,"LA FECHA DEL COMPROBANTE INDICADA NO PUEDE SER ANTERIOR EN MAS DE CINCO DIAS, SI SE TRATA DE UNA VENTA, O ANTERIOR O POSTERIOR EN MAS DE DIEZ DIAS, SI SE TRATA DE UNA PRESTACION DE SERVICIOS, CONSECUTIVOS DE LA FECHA DE REMISION DEL ARCHIVO Art. 22 de la RG Nro 2177-"
Error 06,06,"LA CUIT INFORMADA NO SE ENCUENTRA AUTORIZADA A EMITIR COMPROBANTES CLASE 'A'"
Error 07,07,"PARA LA CLASE DE COMPROBANTE SOLICITADO -COMPROBANTE CLASE A- DEBERA CONSIGNAR EN EL CAMPO CODIGO DE DOCUMENTO IDENTIFICATORIO DEL COMPRADOR EL CODIGO 80"
Error 08,08,"LA CUIT INDICADA EN EL CAMPO Nro DE IDENTIFICACION DEL COMPRADOR ES INVALIDA"
Error 09,09,"LA CUIT INDICADA EN EL CAMPO Nro DE IDENTIFICACION DEL COMPRADOR NO EXISTE EN EL PADRON UNICO DE CONTRIBUYENTES"
Error 10,10,"LA CUIT INDICADA EN EL CAMPO Nro DE IDENTIFICACION DEL COMPRADOR NO CORRESPONDE A UN RESPONSABLE INSCRIPTO EN EL IVA ACTIVO"
Error 11,11,"EL Nro DE COMPROBANTE DESDE INFORMADO NO ES CORRELATIVO AL ULTIMO Nro DE COMPROBANTE REGISTRADO/HASTA SOLICITADO PARA ESE TIPO DE COMPROBANTE Y PUNTO DE VENTA"
Error 12,12,"EL RANGO INFORMADO SE ENCUENTRA AUTORIZADO CON ANTERIORIDAD PARA LA MISMA CUIT, TIPO DE COMPROBANTE Y PUNTO DE VENTA"
Error 13,13,"LA CUIT INDICADA SE ENCUENTRA COMPRENDIDA EN EL REGIMEN ESTABLECIDO POR LA RESOLUCION GENERAL Nro 2177 Y/O EN EL TITULO I DE LA RESOLUCION GENERAL Nro 1361 ART. 24 DE LA RG Nro 2177"
